distortion,min,mean,median,90 perc,95 perc,max
awgn_s0,0.05684522,2.76642510073944,1.883488,6.4410925,9.4773233,17.00227
awgn_s20,1.309397,10.9818503905109,8.351143,19.974981,22.760244,31.86383
awgn_s40,1.441634,11.256523818662,8.218554,22.60306,25.542338,35.31654
blur_s0,0.05684522,2.76642510073944,1.883488,6.4410925,9.4773233,17.00227
blur_s1,0.03531151,2.74583746181338,1.8277535,6.2467105,9.13283440000001,20.5077
blur_s4,0.008633412,2.7505572155669,1.9137615,6.108752,8.63665050000001,22.65168
jpeg_q10,0.6591381,12.0069157096831,9.087028,22.788696,25.660044,32.07391
jpeg_q15,0.9885075,12.0747823617958,9.530424,22.066447,25.265341,32.50277
jpeg_q60,0.9770112,9.24630992464788,8.1908165,14.871818,17.771402,30.98656
awgn_s10,0.6785389,10.3268622948944,8.356159,17.778212,19.535897,29.14024
awgn_s2.5,0.1643226,5.6233235943662,5.276197,10.071932,11.651357,22.80019
awgn_s5,0.4415962,8.14712259894366,7.41773,13.766507,15.810813,26.53491
blur_s0.5,0.03775577,2.75655741697183,1.8219955,6.3119942,9.5195289,17.99614
blur_s2,0.09687064,2.74559140676056,1.857964,6.2448766,9.3054853,22.71853
blur_s8,0.05538867,2.9222006747007,1.9880545,6.5613495,9.5398571,21.52293
jpeg_q100,0.3901375,6.2620824862676,5.732304,10.622084,12.206289,21.95162
jpeg_q30,1.22551,11.4842855950704,9.263732,18.877253,21.654693,35.45549
jpeg_q90,0.8700835,9.65259185299296,8.6042615,15.399026,17.670559,27.89938
